,State,Quantity2013,Deaths2013,Quantity2014,Deaths2014,Quantity2015,Deaths2015,Quantity2016,Deaths2016,Quantity2017,Deaths2017,Quantity2018,Deaths2018,Quantity2019,Deaths2019,Quantity2020,Deaths2020
0,AK,97003.0,70.96942289194303,104503.0,73.57212684443792,112582.0,76.37575954206541,121285.0,79.39593720854049,130662.0,82.65001120354643,140764.0,86.1556799139602,151646.0,89.93202983543344,163370.0,94.00057665397347
1,AL,1155530.0,438.30707712161717,1244864.0,469.30840444057424,1341105.0,502.7066485861823,1444787.0,538.6871220798589,1556484.0,577.4490185307684,1676816.0,619.2074947989838,1806452.0,664.1947120770674,1946109.0,712.6594888628779
2,AR,563731.0,232.93673093728088,607313.0,248.06087009163184,654265.0,264.3544908886372,704846.0,281.9074733714564,759338.0,300.8176792087032,818043.0,321.1899106128649,881286.0,343.13695142188277,949419.0,366.7809552079273
3,AZ,1273628.0,479.29029463918266,1372092.0,513.4599802363102,1478169.0,550.2715838588169,1592447.0,589.9291574965782,1715560.0,632.6527163903788,1848191.0,678.679280113492,1991075.0,728.2639136532625,2145006.0,781.6821566014614
4,CA,5895076.0,2083.0584247524616,6350827.0,2241.216415292928,6841813.0,2411.6019090022155,7370756.0,2595.1595139014826,7940593.0,2792.9084488585263,8554483.0,3005.944972778138,9215834.0,3235.451754336331,9928315.0,3482.7020363066654
5,CO,801407.0,315.4167662190375,863364.0,336.917530057001,930111.0,360.0805541526245,1002018.0,385.03423856756444,1079485.0,411.9173941792873,1162940.0,440.8785486266821,1252848.0,472.0790695548035,1349706.0,505.69142947890344
6,CT,518563.0,217.26220665377568,558654.0,231.17487387503868,601844.0,246.16297836947257,648372.0,262.3094596363635,698498.0,279.7045447460647,752500.0,298.44470725841524,810676.0,318.63336127712756,873349.0,340.38259658575583
7,DC,43307.0,52.335450700854295,46655.0,53.49729774524802,50262.0,54.749024832801226,54148.0,56.09757250738724,58334.0,57.550228340073055,62844.0,59.11532098350665,67702.0,60.80117909033601,72936.0,62.61751942198377
8,DE,199824.0,106.65110597187328,215272.0,112.01198205962541,231915.0,117.7875556438084,249845.0,124.00975322623951,269160.0,130.71258347189803,289969.0,137.9338723448935,312387.0,145.71352797249756,336537.0,154.09423469953109
9,FL,3001919.0,1079.0542702073615,3233999.0,1159.5923413133632,3484021.0,1246.3567743281203,3753372.0,1339.828895969247,4043547.0,1440.5275118912741,4356155.0,1549.0109888488105,4692932.0,1665.88176605006,5055744.0,1791.7873962384033
10,GA,1537321.0,570.7989364185473,1656172.0,612.0434654129433,1784211.0,656.4764802627424,1922149.0,704.3447173026409,2070752.0,755.9139993629874,2230843.0,811.4699298241685,2403310.0,871.32066883416,2589111.0,935.7986684444936
11,HI,154072.0,90.77391780726714,165983.0,94.90735871102268,178815.0,99.36041166014459,192639.0,104.15771558538317,207532.0,109.3259915806507,223577.0,114.89404290302141,240862.0,120.89240794553797,259483.0,127.35440131879227
12,IA,329472.0,151.6424875762809,354943.0,160.4816172261472,382384.0,170.0043904475355,411946.0,180.26320834668934,443794.0,191.31533041056363,478104.0,203.22183342524357,515067.0,216.04899958471938,554887.0,229.86762243649892
13,ID,259899.0,127.49876463135733,279992.0,134.47158203368798,301638.0,141.9833326677819,324958.0,150.07600682407264,350081.0,158.7943710105432,377146.0,168.18666200711309,406303.0,178.3049338928322,437714.0,189.20540507307444
14,IL,1214672.0,458.83095940941087,1308579.0,491.4192420850025,1409745.0,526.5265951594156,1518734.0,564.3487419698777,1636148.0,605.0945928869755,1762639.0,648.9904096409796,1898909.0,696.2798053218435,2045715.0,747.2254795151721
