Average of DOS,Average of DosageUnit,Average of Strength,Buyer State,TotalDeath,Deaths Buyer state,Number of Records,Reporter State,Total QUANTITY,Transaction Year
7.5,240,0,AE,0,0,1,PA,8,2006
9.243488261,367.3289308,0,AK,12,12,1,AK,25580,2006
8.95931696,413.4108063,1.111111111,AK,12,12,1,AK,27318,2007
10.70369627,439.9341857,0,AK,56,56,1,AK,29816,2008
9.855912225,391.5848056,0,AK,83,83,1,AK,31514,2009
10.72063448,425.4097408,0,AK,26,26,1,AK,30101,2010
11.21973294,444.911579,0,AK,46,46,1,AK,30424,2011
10.75020283,461.6127563,0,AK,52,52,1,AK,17178,2012
7.604166667,4525,0,AK,12,12,1,AL,182,2006
7.083333333,1185.380117,0,AK,12,12,1,AL,132,2007
8.214285714,5642.857143,0,AK,56,56,1,AL,41,2008
6.617647059,558.8235294,0,AK,26,26,1,AL,22,2010
7.110119048,857.9603174,0,AK,46,46,1,AL,128,2011
6.447368421,297.3684211,0,AK,52,52,1,AL,23,2012
14.72134244,223.5946464,0,AK,12,12,1,AR,4220,2006
14.96301203,253.6733531,0,AK,12,12,1,AR,4968,2007
12.88688329,278.2803549,0,AK,56,56,1,AR,4138,2008
12.20029874,294.2544242,0,AK,83,83,1,AR,2905,2009
10.75803396,300.2211942,0,AK,26,26,1,AR,2905,2010
9.183772076,321.9863552,0,AK,46,46,1,AR,3434,2011
9.391346734,354.9416275,0,AK,52,52,1,AR,3938,2012
7.594096954,306.5390804,0,AK,12,12,1,AZ,6993,2006
7.479526527,320.9688667,0,AK,12,12,1,AZ,9281,2007
7.479361598,340.8082227,0,AK,56,56,1,AZ,10336,2008
7.538491976,364.3541346,0,AK,83,83,1,AZ,10396,2009
7.418696323,405.1763402,0,AK,26,26,1,AZ,10230,2010
7.396480665,353.6285284,0,AK,46,46,1,AZ,10199,2011
7.312144977,331.5777676,0,AK,52,52,1,AZ,10748,2012
6.233816278,175.7996819,0,AK,12,12,1,CA,3621,2006
10.91538235,303.5946848,0,AK,12,12,1,CA,5555,2007
10.69616263,376.0993912,0,AK,56,56,1,CA,21655,2008
7.860363685,212.1887828,0,AK,83,83,1,CA,5987,2009
7.948054992,245.264307,0,AK,26,26,1,CA,9863,2010
7.52418994,288.620219,0,AK,46,46,1,CA,13726,2011
7.232135561,297.52582,0,AK,52,52,1,CA,13697,2012
5,500,0,AK,46,46,1,CO,5,2011
7.1875,758.3333333,0,AK,12,12,1,FL,25,2006
6.875,500,0,AK,12,12,1,FL,8,2007
8.333333333,1366.666667,0,AK,56,56,1,FL,26,2008
6.291666667,783.5416667,0,AK,83,83,1,FL,78,2009
8.75,1316.666667,0,AK,26,26,1,FL,49,2010
5.833333333,722.2222222,0,AK,46,46,1,FL,36,2011
5.787815126,1138.515406,0,AK,52,52,1,FL,227,2012
8.75,180,0,AK,56,56,1,GA,14,2008
8.5,264,0,AK,83,83,1,GA,25,2009
5.416666667,190.7222222,0,AK,12,12,1,IL,158,2006
6.041666667,379.1832612,0,AK,12,12,1,IL,434,2007
6.048245614,139.3865763,0,AK,56,56,1,IL,428,2008
5.75,144.0933333,0,AK,83,83,1,IL,194,2009
5,100,0,AK,46,46,1,IL,1,2011
