Buyer State,Reporter State,Transaction Year,Total QUANTITY,Average of Strength ,Average of DOS,Average of DosageUnit ,Deaths Buyer state 
AK,AK,2006,25580,0,9.243488261,367.3289308,12
AK,AK,2007,27318,1.111111111,8.95931696,413.4108063,12
AK,AK,2008,29816,0,10.70369627,439.9341857,56
AK,AK,2009,31514,0,9.855912225,391.5848056,83
AK,AK,2010,30101,0,10.72063448,425.4097408,26
AK,AK,2011,30424,0,11.21973294,444.911579,46
AK,AK,2012,17178,0,10.75020283,461.6127563,52
AK,AL,2006,182,0,7.604166667,4525,12
AK,AL,2007,132,0,7.083333333,1185.380117,12
AK,AL,2008,41,0,8.214285714,5642.857143,56
AK,AL,2010,22,0,6.617647059,558.8235294,26
AK,AL,2011,128,0,7.110119048,857.9603174,46
AK,AL,2012,23,0,6.447368421,297.3684211,52
AK,AR,2006,4220,0,14.72134244,223.5946464,12
AK,AR,2007,4968,0,14.96301203,253.6733531,12
AK,AR,2008,4138,0,12.88688329,278.2803549,56
AK,AR,2009,2905,0,12.20029874,294.2544242,83
AK,AR,2010,2905,0,10.75803396,300.2211942,26
AK,AR,2011,3434,0,9.183772076,321.9863552,46
AK,AR,2012,3938,0,9.391346734,354.9416275,52
AK,AZ,2006,6993,0,7.594096954,306.5390804,12
AK,AZ,2007,9281,0,7.479526527,320.9688667,12
AK,AZ,2008,10336,0,7.479361598,340.8082227,56
AK,AZ,2009,10396,0,7.538491976,364.3541346,83
AK,AZ,2010,10230,0,7.418696323,405.1763402,26
AK,AZ,2011,10199,0,7.396480665,353.6285284,46
AK,AZ,2012,10748,0,7.312144977,331.5777676,52
AK,CA,2006,3621,0,6.233816278,175.7996819,12
AK,CA,2007,5555,0,10.91538235,303.5946848,12
AK,CA,2008,21655,0,10.69616263,376.0993912,56
AK,CA,2009,5987,0,7.860363685,212.1887828,83
AK,CA,2010,9863,0,7.948054992,245.264307,26
AK,CA,2011,13726,0,7.52418994,288.620219,46
AK,CA,2012,13697,0,7.232135561,297.52582,52
AK,CO,2011,5,0,5,500,46
AK,FL,2006,25,0,7.1875,758.3333333,12
AK,FL,2007,8,0,6.875,500,12
AK,FL,2008,26,0,8.333333333,1366.666667,56
AK,FL,2009,78,0,6.291666667,783.5416667,83
AK,FL,2010,49,0,8.75,1316.666667,26
AK,FL,2011,36,0,5.833333333,722.2222222,46
AK,FL,2012,227,0,5.787815126,1138.515406,52
AK,GA,2008,14,0,8.75,180,56
AK,GA,2009,25,0,8.5,264,83
AK,IL,2006,158,0,5.416666667,190.7222222,12
AK,IL,2007,434,0,6.041666667,379.1832612,12
AK,IL,2008,428,0,6.048245614,139.3865763,56
AK,IL,2009,194,0,5.75,144.0933333,83
AK,IL,2011,1,0,5,100,46
AK,IN,2006,107,0,6.574561404,485.0877193,12
AK,IN,2007,83,0,6.986508951,366.3256607,12
AK,IN,2008,189,0,6.529613442,297.9331779,56
AK,IN,2009,135,0,6.334033613,316.6719188,83
AK,IN,2010,114,0,7.141181473,302.3009204,26
AK,IN,2011,75,0,6.656862745,321.5686274,46
AK,IN,2012,90,0,6.406432749,271.9181287,52
AK,KS,2009,4,0,5,200,83
AK,KS,2011,1,0,5,100,46
AK,MA,2010,2,0,5,200,26
AK,MI,2006,6,0,10,1000,12
AK,MI,2008,13,0,8.75,250,56
AK,MI,2009,11,0,5,366.6666667,83
AK,MI,2010,3,0,7.5,150,26
AK,MI,2011,1,0,10,100,46
AK,MN,2008,77,0,5,247.5,56
AK,MN,2009,22,0,5,330,83
AK,MN,2010,473,0,5,364.0476191,26
AK,MN,2011,209,0,5,292.5,46
AK,MN,2012,11,0,5,110,52
AK,MS,2009,135,0,5.416666667,340,83
AK,NE,2007,5,0,5,500,12
AK,NE,2008,6,0,5,300,56
AK,NE,2011,1,0,10,100,46
AK,NJ,2010,2,0,7.5,200,26
AK,NV,2006,4,0,7.5,666.6666667,12
AK,NV,2007,2,0,7.5,500,12
AK,NV,2008,3,0,5,750,56
AK,NV,2009,9,0,6.041666667,683.3333333,83
AK,NV,2010,6,0,7,340,26
AK,NV,2011,9,0,7.5,325,46
AK,NV,2012,4,0,5,400,52
AK,NY,2006,6,0,7.5,600,12
AK,NY,2007,9,0,7,340,12
AK,NY,2011,21,0,6.25,716.6666665,46
AK,NY,2012,7,0,7.5,1750,52
AK,OH,2006,166,0,9.237547241,1276.326531,12
AK,OH,2007,144,0,9.331944444,882.4074074,12
AK,OH,2008,127,0,7.574041812,525.9001161,56
AK,OH,2009,488,0,10.58148545,666.5944973,83
AK,OH,2010,207,0,7.479166667,626.5,26
AK,OH,2011,91,0,8.409090909,583.1818182,46
AK,OH,2012,292,0,7.322485207,716.4092702,52
AK,OK,2009,153,0,5.777777778,111.3333333,83
AK,OK,2010,249,0,5.793650794,115.7142857,26
AK,OK,2011,140,0,5.950704225,98.49765258,46
AK,OK,2012,19,0,6.111111111,153.3333333,52
AK,OR,2006,20,0,5,167.8571429,12
AK,OR,2007,34,0,5,275,12
AK,OR,2009,2,0,5,200,83
AK,OR,2010,26,0,5.555555556,183.3333333,26
AK,OR,2011,35,0,5,183.3333333,46
AK,OR,2012,29,0,5,172.2222222,52
AK,PA,2006,3,0,7.5,550,12
AK,PA,2008,2,0,5,200,56
AK,PA,2010,2,0,5,200,26
AK,PA,2011,3,0,6.25,100,46
AK,PA,2012,25,0,5,56,52
AK,SC,2006,1,0,5,100,12
AK,SC,2007,5,0,5.833333333,200,12
AK,SC,2008,7,0,7.5,400,56
AK,SC,2009,5,0,6.875,300,83
AK,SC,2010,7,0,6.25,275,26
AK,SC,2011,6,0,8.333333333,166.6666667,46
AK,SC,2012,1,0,10,500,52
AK,TN,2006,32,0,6.875,235,12
AK,TN,2007,18,0,8.375,510,12
AK,TN,2008,2,0,7.5,100,56
AK,TN,2009,3,0,7.5,100,83
AK,TN,2010,5,0,8.75,100,26
AK,TN,2011,12,0,9.285714286,385.7142857,46
AK,TN,2012,19,0,8.85,176,52
AK,TX,2007,2,0,5,100,12
AK,TX,2010,1,0,10,100,26
AK,TX,2011,1,0,7.5,100,46
AK,TX,2012,1,0,10,500,52
AK,VA,2006,2,0,7.5,500,12
AK,VA,2007,4,0,7.5,350,12
AK,VA,2008,9,0,6.25,250,56
AK,VA,2009,5,0,7.5,500,83
AK,WA,2006,22378,0,11.48344395,418.7454972,12
AK,WA,2007,23995,0,11.94772733,412.9670622,12
AK,WA,2008,12367,0,12.69190131,420.2863152,56
AK,WA,2009,30770,0,11.46536424,409.7231553,83
AK,WA,2010,33524,0,11.40008951,394.7342832,26
AK,WA,2011,31863,0,10.93931541,375.1880059,46
AK,WA,2012,43733,0.033333333,11.41158952,389.3069748,52
AK,WI,2011,1,1000,10,100,46
AL,AL,2006,203200,0,12.03331852,1312.47121,69
AL,AL,2007,227708,0,11.30487261,1374.580837,120
