REPORTER_NAME	REPORTER_STATE	REPORTER_COUNTY	BUYER_NAME	BUYER_STATE	BUYER_COUNTY	QUANTITY	TRANSACTION_DATE	DOSAGE_UNIT	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
BELLCO DRUG CORP	NY	SUFFOLK	STERLING DRUG	MN	WRIGHT	2	3282006	200	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Bellco Drug Corp	10
BELLCO DRUG CORP	NY	SUFFOLK	MERITCARE THIEF RIVER FALLS SOUTHEAST CLINIC PHARM	MN	PENNINGTON	1	9262006	100	"Teva Pharmaceuticals USA, Inc."	Teva	Bellco Drug Corp	7.5
BELLCO DRUG CORP	NY	SUFFOLK	MERITCARE THIEF RIVER FALLS SOUTHEAST CLINIC PHARM	MN	PENNINGTON	1	1182007	500	"Actavis Pharma, Inc."	"Allergan, Inc."	Bellco Drug Corp	10
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	2	7062007	1000	"Actavis Pharma, Inc."	"Allergan, Inc."	Dik Drug Co	5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	1	2142008	100	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	7.5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	2	3022009	200	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	7.5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	1	3102009	100	"Actavis Pharma, Inc."	"Allergan, Inc."	Dik Drug Co	10
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	1	4062009	100	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	7.5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	2	8182011	1000	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	2	9122011	1000	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	1	11082011	100	SpecGx LLC	Mallinckrodt	Dik Drug Co	5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	1	1252012	100	Purdue Pharma LP	Purdue Pharma LP	Dik Drug Co	30
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	1	2012012	100	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	7.5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	1	4092012	500	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	2	4092012	200	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	10
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	1	4022012	100	Par Pharmaceutical	"Endo Pharmaceuticals, Inc."	Dik Drug Co	7.5
DIK DRUG CO	IL	DUPAGE	WABASHA PHARMACY	MN	WABASHA	5	5082012	500	"KVK-Tech, Inc."	"KVK-Tech, Inc."	Dik Drug Co	5
H D SMITH WHOLESALE DRUG CO	IL	SANGAMON	ECONOFOODS PHARMACY	MN	MCLEOD	1	10152007	500	SpecGx LLC	Mallinckrodt	H. D. Smith	7.5
H D SMITH WHOLESALE DRUG CO	IL	SANGAMON	ECONOFOODS PHARMACY	MN	MCLEOD	1	10082007	500	SpecGx LLC	Mallinckrodt	H. D. Smith	5
H D SMITH WHOLESALE DRUG CO	IL	SANGAMON	ECONOFOODS PHARMACY	MN	MCLEOD	1	11272007	500	SpecGx LLC	Mallinckrodt	H. D. Smith	5
