Notes,County,State,County Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,Baldwin County,AL,1003,2006,2006,12,168121,Unreliable,Unreliable
,Baldwin County,AL,1003,2007,2007,14,172404,Unreliable,Unreliable
,Baldwin County,AL,1003,2008,2008,14,175827,Unreliable,Unreliable
,Baldwin County,AL,1003,2009,2009,10,179406,Unreliable,Unreliable
,Baldwin County,AL,1003,2010,2010,10,182265,Unreliable,Unreliable
,Baldwin County,AL,1003,2011,2011,11,186717,Unreliable,Unreliable
,Blount County,AL,1009,2012,2012,11,57826,Unreliable,Unreliable
,Jefferson County,AL,1073,2006,2006,38,655893,5.8,5.9
,Jefferson County,AL,1073,2007,2007,44,655163,6.7,6.6
,Jefferson County,AL,1073,2008,2008,38,656510,5.8,5.9
,Jefferson County,AL,1073,2009,2009,63,658441,9.6,9.6
,Jefferson County,AL,1073,2010,2010,42,658466,6.4,6.4
,Jefferson County,AL,1073,2011,2011,40,658931,6.1,6.3
,Jefferson County,AL,1073,2012,2012,50,660009,7.6,8
,Madison County,AL,1089,2011,2011,16,340111,Unreliable,Unreliable
,Mobile County,AL,1097,2006,2006,19,402916,Unreliable,Unreliable
,Mobile County,AL,1097,2007,2007,29,405715,7.1,7.4
,Mobile County,AL,1097,2008,2008,27,409196,6.6,7.1
,Mobile County,AL,1097,2009,2009,22,411994,5.3,5.5
,Mobile County,AL,1097,2010,2010,14,412992,Unreliable,Unreliable
,Mobile County,AL,1097,2011,2011,14,412577,Unreliable,Unreliable
,Mobile County,AL,1097,2012,2012,15,413936,Unreliable,Unreliable
,Morgan County,AL,1103,2009,2009,10,118954,Unreliable,Unreliable
,Shelby County,AL,1117,2007,2007,20,183491,10.9,11.4
,Shelby County,AL,1117,2008,2008,20,188534,10.6,10.2
,Shelby County,AL,1117,2009,2009,16,192708,Unreliable,Unreliable
,Shelby County,AL,1117,2010,2010,16,195085,Unreliable,Unreliable
,Shelby County,AL,1117,2011,2011,10,197936,Unreliable,Unreliable
,Shelby County,AL,1117,2012,2012,15,200941,Unreliable,Unreliable
,Tuscaloosa County,AL,1125,2007,2007,13,184350,Unreliable,Unreliable
,Tuscaloosa County,AL,1125,2008,2008,15,188093,Unreliable,Unreliable
,Walker County,AL,1127,2010,2010,20,67023,29.8,33.3
,Walker County,AL,1127,2011,2011,20,66661,30,31.6
,Walker County,AL,1127,2012,2012,15,66221,Unreliable,Unreliable
,Anchorage Borough,AK,2020,2006,2006,12,280085,Unreliable,Unreliable
,Anchorage Borough,AK,2020,2007,2007,12,278792,Unreliable,Unreliable
,Anchorage Borough,AK,2020,2008,2008,40,281554,14.2,13.5
,Anchorage Borough,AK,2020,2009,2009,41,287677,14.3,13.6
,Anchorage Borough,AK,2020,2010,2010,26,291826,8.9,8.4
,Anchorage Borough,AK,2020,2011,2011,32,295570,10.8,10.5
,Anchorage Borough,AK,2020,2012,2012,34,298610,11.4,10.5
,Fairbanks North Star Borough,AK,2090,2009,2009,13,95238,Unreliable,Unreliable
,Kenai Peninsula Borough,AK,2122,2009,2009,12,54796,Unreliable,Unreliable
,Matanuska-Susitna Borough,AK,2170,2008,2008,16,84079,Unreliable,Unreliable
,Matanuska-Susitna Borough,AK,2170,2009,2009,17,86885,Unreliable,Unreliable
,Matanuska-Susitna Borough,AK,2170,2011,2011,14,91946,Unreliable,Unreliable
,Matanuska-Susitna Borough,AK,2170,2012,2012,18,93925,Unreliable,Unreliable
,Cochise County,AZ,4003,2006,2006,11,127241,Unreliable,Unreliable
,Cochise County,AZ,4003,2007,2007,15,128206,Unreliable,Unreliable
,Cochise County,AZ,4003,2009,2009,10,130081,Unreliable,Unreliable
,Cochise County,AZ,4003,2010,2010,13,131346,Unreliable,Unreliable
,Cochise County,AZ,4003,2012,2012,16,132088,Unreliable,Unreliable
,Coconino County,AZ,4005,2008,2008,11,131853,Unreliable,Unreliable
,Coconino County,AZ,4005,2009,2009,13,133477,Unreliable,Unreliable
,Coconino County,AZ,4005,2011,2011,13,134511,Unreliable,Unreliable
,Maricopa County,AZ,4013,2006,2006,284,3642884,7.8,7.9
,Maricopa County,AZ,4013,2007,2007,281,3711954,7.6,7.8
,Maricopa County,AZ,4013,2008,2008,289,3771061,7.7,7.8
,Maricopa County,AZ,4013,2009,2009,307,3803779,8.1,8.1
,Maricopa County,AZ,4013,2010,2010,316,3817117,8.3,8.3
,Maricopa County,AZ,4013,2011,2011,279,3880244,7.2,7.1
,Maricopa County,AZ,4013,2012,2012,233,3942169,5.9,5.9
,Mohave County,AZ,4015,2007,2007,12,199760,Unreliable,Unreliable
,Mohave County,AZ,4015,2008,2008,24,200078,12,13.2
,Mohave County,AZ,4015,2009,2009,43,199696,21.5,24.6
,Mohave County,AZ,4015,2010,2010,51,200186,25.5,27.7
,Mohave County,AZ,4015,2011,2011,47,202351,23.2,24.4
,Mohave County,AZ,4015,2012,2012,42,203334,20.7,24.3
,Navajo County,AZ,4017,2010,2010,13,107449,Unreliable,Unreliable
,Pima County,AZ,4019,2006,2006,114,940930,12.1,12.4
,Pima County,AZ,4019,2007,2007,92,955869,9.6,10.2
,Pima County,AZ,4019,2008,2008,84,967778,8.7,9.1
,Pima County,AZ,4019,2009,2009,143,975580,14.7,15.5
,Pima County,AZ,4019,2010,2010,150,980263,15.3,15.7
,Pima County,AZ,4019,2011,2011,140,989569,14.1,15.1
,Pima County,AZ,4019,2012,2012,148,992394,14.9,15.5
,Pinal County,AZ,4021,2006,2006,14,271328,Unreliable,Unreliable
,Pinal County,AZ,4021,2007,2007,14,306174,Unreliable,Unreliable
,Pinal County,AZ,4021,2008,2008,21,335311,6.3,6.6
,Pinal County,AZ,4021,2009,2009,26,349830,7.4,7.9
,Pinal County,AZ,4021,2010,2010,21,375770,5.6,5.7
,Pinal County,AZ,4021,2011,2011,26,382992,6.8,6.7
,Pinal County,AZ,4021,2012,2012,32,387365,8.3,8.8
,Yavapai County,AZ,4025,2006,2006,12,204082,Unreliable,Unreliable
,Yavapai County,AZ,4025,2007,2007,23,208773,11,12.2
,Yavapai County,AZ,4025,2008,2008,32,211211,15.2,16.8
,Yavapai County,AZ,4025,2009,2009,26,211172,12.3,13.2
,Yavapai County,AZ,4025,2010,2010,27,211033,12.8,15.3
,Yavapai County,AZ,4025,2011,2011,31,211888,14.6,17.2
,Yavapai County,AZ,4025,2012,2012,26,212637,12.2,14.8
,Benton County,AR,5007,2007,2007,13,203664,Unreliable,Unreliable
,Benton County,AR,5007,2008,2008,18,210807,Unreliable,Unreliable
,Benton County,AR,5007,2009,2009,14,216620,Unreliable,Unreliable
,Benton County,AR,5007,2010,2010,16,221339,Unreliable,Unreliable
,Benton County,AR,5007,2011,2011,14,227556,Unreliable,Unreliable
,Benton County,AR,5007,2012,2012,11,232268,Unreliable,Unreliable
,Craighead County,AR,5031,2008,2008,11,93316,Unreliable,Unreliable
,Craighead County,AR,5031,2009,2009,10,95482,Unreliable,Unreliable
,Crawford County,AR,5033,2008,2008,10,60933,Unreliable,Unreliable
,Crawford County,AR,5033,2009,2009,15,61595,Unreliable,Unreliable
,Crawford County,AR,5033,2011,2011,10,61944,Unreliable,Unreliable
,Garland County,AR,5051,2006,2006,14,94077,Unreliable,Unreliable
,Garland County,AR,5051,2007,2007,15,94753,Unreliable,Unreliable
,Garland County,AR,5051,2008,2008,16,95636,Unreliable,Unreliable
,Garland County,AR,5051,2009,2009,12,95840,Unreliable,Unreliable
,Garland County,AR,5051,2010,2010,16,96024,Unreliable,Unreliable
,Garland County,AR,5051,2011,2011,11,97124,Unreliable,Unreliable
,Pulaski County,AR,5119,2006,2006,15,371647,Unreliable,Unreliable
,Pulaski County,AR,5119,2007,2007,16,373403,Unreliable,Unreliable
,Pulaski County,AR,5119,2008,2008,17,376567,Unreliable,Unreliable
,Pulaski County,AR,5119,2009,2009,20,380053,5.3,5.3
,Pulaski County,AR,5119,2010,2010,34,382748,8.9,8.6
,Pulaski County,AR,5119,2011,2011,23,386299,6,6.1
,Pulaski County,AR,5119,2012,2012,20,388953,5.1,5
,Saline County,AR,5125,2008,2008,12,102599,Unreliable,Unreliable
,Saline County,AR,5125,2009,2009,10,105362,Unreliable,Unreliable
,Sebastian County,AR,5131,2007,2007,15,122946,Unreliable,Unreliable
,Sebastian County,AR,5131,2009,2009,14,125116,Unreliable,Unreliable
,Sebastian County,AR,5131,2011,2011,10,127127,Unreliable,Unreliable
,Washington County,AR,5143,2006,2006,13,190314,Unreliable,Unreliable
,Washington County,AR,5143,2012,2012,11,211411,Unreliable,Unreliable
,Alameda County,CA,6001,2006,2006,23,1444484,1.6,1.5
,Alameda County,CA,6001,2007,2007,19,1455715,Unreliable,Unreliable
,Alameda County,CA,6001,2008,2008,23,1477208,1.6,1.4
,Alameda County,CA,6001,2009,2009,26,1498539,1.7,1.6
,Alameda County,CA,6001,2010,2010,37,1510271,2.4,2.3
,Alameda County,CA,6001,2011,2011,44,1529875,2.9,2.5
,Alameda County,CA,6001,2012,2012,33,1554720,2.1,2
,Amador County,CA,6005,2009,2009,11,38238,Unreliable,Unreliable
,Butte County,CA,6007,2006,2006,20,216824,9.2,9.4
,Butte County,CA,6007,2007,2007,21,217469,9.7,9.9
,Butte County,CA,6007,2008,2008,12,219034,Unreliable,Unreliable
,Butte County,CA,6007,2009,2009,16,219777,Unreliable,Unreliable
,Butte County,CA,6007,2010,2010,17,220000,Unreliable,Unreliable
,Butte County,CA,6007,2011,2011,22,220266,10,8.9
,Butte County,CA,6007,2012,2012,16,221539,Unreliable,Unreliable
,Contra Costa County,CA,6013,2006,2006,31,1000834,3.1,3
,Contra Costa County,CA,6013,2007,2007,43,1009152,4.3,4.1
,Contra Costa County,CA,6013,2008,2008,59,1023344,5.8,5.4
,Contra Costa County,CA,6013,2009,2009,40,1037890,3.9,3.6
,Contra Costa County,CA,6013,2010,2010,33,1049025,3.1,3
,Contra Costa County,CA,6013,2011,2011,37,1066096,3.5,3.4
,Contra Costa County,CA,6013,2012,2012,43,1079597,4,3.9
,El Dorado County,CA,6017,2006,2006,12,176773,Unreliable,Unreliable
,El Dorado County,CA,6017,2007,2007,16,177694,Unreliable,Unreliable
,El Dorado County,CA,6017,2008,2008,18,179150,Unreliable,Unreliable
,El Dorado County,CA,6017,2009,2009,23,180455,12.7,12
,El Dorado County,CA,6017,2010,2010,14,181058,Unreliable,Unreliable
,Fresno County,CA,6019,2006,2006,58,883862,6.6,7.3
,Fresno County,CA,6019,2007,2007,64,895933,7.1,7.8
,Fresno County,CA,6019,2008,2008,60,909630,6.6,7.2
,Fresno County,CA,6019,2009,2009,67,921478,7.3,7.7
,Fresno County,CA,6019,2010,2010,74,930450,8,8.5
,Fresno County,CA,6019,2011,2011,62,942904,6.6,7
,Fresno County,CA,6019,2012,2012,43,947895,4.5,4.9
,Humboldt County,CA,6023,2006,2006,21,132093,15.9,15.6
,Humboldt County,CA,6023,2007,2007,23,132001,17.4,18
,Humboldt County,CA,6023,2008,2008,26,132657,19.6,20.3
,Humboldt County,CA,6023,2009,2009,26,133744,19.4,18.8
,Humboldt County,CA,6023,2010,2010,23,134623,17.1,16.5
,Humboldt County,CA,6023,2011,2011,25,134761,18.6,18.3
,Humboldt County,CA,6023,2012,2012,22,134827,16.3,16.6
,Imperial County,CA,6025,2006,2006,11,160505,Unreliable,Unreliable
,Imperial County,CA,6025,2007,2007,11,164596,Unreliable,Unreliable
,Kern County,CA,6029,2006,2006,33,784511,4.2,4.4
,Kern County,CA,6029,2007,2007,48,803281,6,6.3
,Kern County,CA,6029,2008,2008,61,818327,7.5,7.7
,Kern County,CA,6029,2009,2009,56,830137,6.7,7.2
,Kern County,CA,6029,2010,2010,43,839631,5.1,5.3
,Kern County,CA,6029,2011,2011,43,851710,5,5.1
,Kern County,CA,6029,2012,2012,46,856158,5.4,5.4
,Kings County,CA,6031,2007,2007,11,150420,Unreliable,Unreliable
,Kings County,CA,6031,2010,2010,10,152982,Unreliable,Unreliable
,Lake County,CA,6033,2006,2006,15,64202,Unreliable,Unreliable
,Lake County,CA,6033,2007,2007,10,64077,Unreliable,Unreliable
,Lake County,CA,6033,2008,2008,13,64392,Unreliable,Unreliable
,Lake County,CA,6033,2009,2009,13,64413,Unreliable,Unreliable
,Lake County,CA,6033,2010,2010,18,64665,Unreliable,Unreliable
,Lake County,CA,6033,2011,2011,18,64323,Unreliable,Unreliable
,Lake County,CA,6033,2012,2012,15,63983,Unreliable,Unreliable
,Lassen County,CA,6035,2006,2006,11,34605,Unreliable,Unreliable
,Lassen County,CA,6035,2007,2007,11,35615,Unreliable,Unreliable
,Lassen County,CA,6035,2010,2010,12,34895,Unreliable,Unreliable
,Lassen County,CA,6035,2011,2011,10,34200,Unreliable,Unreliable
,Los Angeles County,CA,6037,2006,2006,229,9737955,2.4,2.4
,Los Angeles County,CA,6037,2007,2007,254,9700359,2.6,2.6
,Los Angeles County,CA,6037,2008,2008,238,9735147,2.4,2.4
,Los Angeles County,CA,6037,2009,2009,280,9787400,2.9,2.8
,Los Angeles County,CA,6037,2010,2010,255,9818605,2.6,2.5
,Los Angeles County,CA,6037,2011,2011,249,9889056,2.5,2.4
,Los Angeles County,CA,6037,2012,2012,239,9962789,2.4,2.3
,Madera County,CA,6039,2010,2010,11,150865,Unreliable,Unreliable
,Madera County,CA,6039,2011,2011,18,152925,Unreliable,Unreliable
,Madera County,CA,6039,2012,2012,17,152218,Unreliable,Unreliable
,Marin County,CA,6041,2006,2006,25,244580,10.2,9.2
,Marin County,CA,6041,2007,2007,25,246248,10.2,9.4
,Marin County,CA,6041,2008,2008,24,248398,9.7,8
,Marin County,CA,6041,2009,2009,25,250862,10,8.8
,Marin County,CA,6041,2010,2010,24,252409,9.5,8.3
,Marin County,CA,6041,2012,2012,14,256069,Unreliable,Unreliable
,Mendocino County,CA,6045,2006,2006,12,87345,Unreliable,Unreliable
,Mendocino County,CA,6045,2007,2007,11,87071,Unreliable,Unreliable
,Mendocino County,CA,6045,2009,2009,10,87722,Unreliable,Unreliable
,Merced County,CA,6047,2008,2008,10,250538,Unreliable,Unreliable
,Merced County,CA,6047,2009,2009,11,252302,Unreliable,Unreliable
,Merced County,CA,6047,2010,2010,10,255793,Unreliable,Unreliable
,Monterey County,CA,6053,2006,2006,22,401831,5.5,5.4
,Monterey County,CA,6053,2007,2007,13,402376,Unreliable,Unreliable
,Monterey County,CA,6053,2008,2008,21,406022,5.2,5.1
,Monterey County,CA,6053,2009,2009,20,410263,4.9,5.1
,Monterey County,CA,6053,2010,2010,19,415057,Unreliable,Unreliable
,Monterey County,CA,6053,2011,2011,32,421898,7.6,7.7
,Monterey County,CA,6053,2012,2012,24,426762,5.6,5.6
,Orange County,CA,6059,2006,2006,168,2932261,5.7,5.6
